epoch,step,train_dice,train_edge,train_focal,train_loss,val_IoU_1,val_batch_mIoU,val_brier,val_ece,val_foreground_iou,val_loss,val_mIoU,val_precision_1,val_recall_1
2,2079,0.14004918932914734,0.06286223977804184,0.10949371755123138,0.2558291256427765,,,,,,,,,
2,2089,0.2511560618877411,0.07427099347114563,0.15933586657047272,0.4179190397262573,,,,,,,,,
2,2099,0.1149686872959137,0.03593877702951431,0.026625877246260643,0.14518843591213226,,,,,,,,,
2,2109,0.13751623034477234,0.05148845911026001,0.025287706404924393,0.1679527759552002,,,,,,,,,
2,2119,0.15953883528709412,0.06403911113739014,0.07313863933086395,0.23908138275146484,,,,,,,,,
2,2129,0.0762459933757782,0.023740526288747787,0.01288842037320137,0.09150846302509308,,,,,,,,,
2,2139,0.15589618682861328,0.05534646660089493,0.05918961018323898,0.22062045335769653,,,,,,,,,
2,2149,0.1381000280380249,0.05372043326497078,0.06467905640602112,0.20815113186836243,,,,,,,,,
2,2159,0.10081222653388977,0.038052987307310104,0.05006324499845505,0.1546807736158371,,,,,,,,,
2,2169,0.16525891423225403,0.060088999569416046,0.07027018070220947,0.24153798818588257,,,,,,,,,
2,2179,0.18095925450325012,0.058743610978126526,0.09912590682506561,0.28595951199531555,,,,,,,,,
2,2189,0.05458265542984009,0.01862105168402195,0.045615822076797485,0.10206058621406555,,,,,,,,,
2,2199,0.10742050409317017,0.04560905322432518,0.08613358438014984,0.19811499118804932,,,,,,,,,
2,2209,0.08827176690101624,0.030098751187324524,0.028247803449630737,0.11952944844961166,,,,,,,,,
2,2219,0.20743685960769653,0.06387422978878021,0.1913008838891983,0.40512514114379883,,,,,,,,,
2,2229,0.10758307576179504,0.03562679514288902,0.026199165731668472,0.13734491169452667,,,,,,,,,
2,2239,0.10759490728378296,0.04312193766236305,0.05415240675210953,0.1660594940185547,,,,,,,,,
2,2249,0.07779663801193237,0.017067108303308487,0.01588459685444832,0.09538794308900833,,,,,,,,,
2,2259,0.15606558322906494,0.06004517525434494,0.11137476563453674,0.27344486117362976,,,,,,,,,
2,2269,0.17120471596717834,0.0643385797739029,0.09367930889129639,0.27131786942481995,,,,,,,,,
2,2279,0.12265893816947937,0.04411458224058151,0.0566849447786808,0.18375533819198608,,,,,,,,,
2,2289,0.15279006958007812,0.055023193359375,0.14580810070037842,0.30410048365592957,,,,,,,,,
2,2299,0.21612763404846191,0.05436632037162781,0.2125609666109085,0.43412521481513977,,,,,,,,,
2,2309,0.18277999758720398,0.06642516702413559,0.2743627429008484,0.4637852609157562,,,,,,,,,
2,2319,0.2039610743522644,0.07407283782958984,0.15373286604881287,0.3651012182235718,,,,,,,,,
2,2329,0.08497092127799988,0.0287012979388237,0.05910176783800125,0.14694280922412872,,,,,,,,,
2,2339,0.18799978494644165,0.06274113804101944,0.06446008384227753,0.25873398780822754,,,,,,,,,
2,2349,0.19211432337760925,0.06019489839673042,0.08525845408439636,0.2833922803401947,,,,,,,,,
2,2359,0.10761681199073792,0.038417138159275055,0.08445325493812561,0.19591177999973297,,,,,,,,,
2,2369,0.06517603993415833,0.024485237896442413,0.049180347472429276,0.11680490523576736,,,,,,,,,
2,2379,0.20849549770355225,0.08004219830036163,0.1321580410003662,0.3486577570438385,,,,,,,,,
2,2389,0.11173444986343384,0.03709365054965019,0.055635154247283936,0.17107896506786346,,,,,,,,,
2,2399,0.12738925218582153,0.043640874326229095,0.0487026609480381,0.1804559975862503,,,,,,,,,
2,2409,0.10355731844902039,0.02827577106654644,0.06415174901485443,0.17053663730621338,,,,,,,,,
2,2419,0.19023555517196655,0.06487374007701874,0.06700358539819717,0.26372650265693665,,,,,,,,,
