epoch,step,train_dice,train_edge,train_focal,train_loss,val_IoU_1,val_batch_mIoU,val_brier,val_ece,val_foreground_iou,val_loss,val_mIoU,val_precision_1,val_recall_1
0,9,0.5802790522575378,0.1994701474905014,0.16509895026683807,0.775298535823822,,,,,,,,,
0,19,0.5783005952835083,0.1950257122516632,0.1584911048412323,0.7660455703735352,,,,,,,,,
0,29,0.5533488988876343,0.1908031702041626,0.15132896602153778,0.7332983613014221,,,,,,,,,
0,39,0.5483803749084473,0.19284610450267792,0.14336924254894257,0.7206765413284302,,,,,,,,,
0,49,0.5505935549736023,0.17922958731651306,0.1472836136817932,0.7247616052627563,,,,,,,,,
0,59,0.54256272315979,0.19219449162483215,0.14011625945568085,0.7115081548690796,,,,,,,,,
0,69,0.5407050251960754,0.1738651990890503,0.12956500053405762,0.6963497996330261,,,,,,,,,
0,79,0.5354884266853333,0.17596568167209625,0.12516027688980103,0.6870435476303101,,,,,,,,,
0,89,0.527687132358551,0.17437942326068878,0.13183727860450745,0.6856813430786133,,,,,,,,,
0,99,0.5323335528373718,0.1826356202363968,0.14248722791671753,0.7022161483764648,,,,,,,,,
0,109,0.5181119441986084,0.18569812178611755,0.13493771851062775,0.6809043884277344,,,,,,,,,
0,119,0.516709566116333,0.1682521253824234,0.12029003351926804,0.6622374057769775,,,,,,,,,
0,129,0.5215883255004883,0.1669626533985138,0.14409422874450684,0.6907269358634949,,,,,,,,,
0,139,0.5286529660224915,0.16214072704315186,0.133591890335083,0.6865659952163696,,,,,,,,,
0,149,0.5187183618545532,0.16653040051460266,0.12902915477752686,0.672727108001709,,,,,,,,,
0,159,0.522944450378418,0.16139939427375793,0.12456445395946503,0.6717188358306885,,,,,,,,,
0,169,0.513583242893219,0.18262863159179688,0.139344722032547,0.6803222894668579,,,,,,,,,
0,179,0.5225441455841064,0.1768355369567871,0.12904581427574158,0.6781153082847595,,,,,,,,,
0,189,0.5270633697509766,0.1534019261598587,0.11375075578689575,0.6638244390487671,,,,,,,,,
0,199,0.5194536447525024,0.16811177134513855,0.13598090410232544,0.6806513071060181,,,,,,,,,
0,209,0.5239381790161133,0.17659150063991547,0.12832413613796234,0.6787510514259338,,,,,,,,,
0,219,0.5250332951545715,0.17487862706184387,0.12322618067264557,0.674491286277771,,,,,,,,,
0,229,0.5167772769927979,0.1765989363193512,0.136519655585289,0.6797868013381958,,,,,,,,,
0,239,0.5241252183914185,0.15093645453453064,0.12104447931051254,0.6678101420402527,,,,,,,,,
0,249,0.5209315419197083,0.1843324601650238,0.12981219589710236,0.6783936023712158,,,,,,,,,
0,259,0.5212172269821167,0.17549535632133484,0.1303671896457672,0.677908718585968,,,,,,,,,
0,269,0.5239853858947754,0.15159691870212555,0.11980054527521133,0.6665254831314087,,,,,,,,,
0,279,0.5224332809448242,0.1731548011302948,0.1253460943698883,0.6737525463104248,,,,,,,,,
0,289,0.5170945525169373,0.16896849870681763,0.13871577382087708,0.6811556220054626,,,,,,,,,
0,299,0.5207399129867554,0.1795455813407898,0.12893345952033997,0.6766051650047302,,,,,,,,,
0,309,0.5217424631118774,0.17358924448490143,0.13004790246486664,0.6778287887573242,,,,,,,,,
0,319,0.5336304306983948,0.15195031464099884,0.10899581015110016,0.6654187440872192,,,,,,,,,
0,329,0.517788290977478,0.17864349484443665,0.1342107206583023,0.6787955164909363,,,,,,,,,
0,339,0.5222797393798828,0.15298983454704285,0.11901800334453583,0.6642462611198425,,,,,,,,,
0,349,0.5310415029525757,0.1617407649755478,0.10792747139930725,0.6632300615310669,,,,,,,,,
0,359,0.5234421491622925,0.15337838232517242,0.12269969284534454,0.6691485643386841,,,,,,,,,
0,369,0.5187763571739197,0.16690805554389954,0.13418874144554138,0.6780012845993042,,,,,,,,,
0,379,0.5297458171844482,0.14914941787719727,0.10939446836709976,0.6615127325057983,,,,,,,,,
0,389,0.5177197456359863,0.1573735624551773,0.13119477033615112,0.6725205779075623,,,,,,,,,
0,399,0.5200177431106567,0.17707684636116028,0.13356035947799683,0.6801396608352661,,,,,,,,,
0,409,0.5148022174835205,0.17242445051670074,0.13512396812438965,0.6757898330688477,,,,,,,,,
0,419,0.5201307535171509,0.17093396186828613,0.1266394555568695,0.6724103093147278,,,,,,,,,
0,429,0.5261776447296143,0.15666083991527557,0.1176103800535202,0.6672871708869934,,,,,,,,,
0,439,0.5136194229125977,0.17993921041488647,0.13074329495429993,0.6713535785675049,,,,,,,,,
0,449,0.5225277543067932,0.17220163345336914,0.13573132455348969,0.6840893626213074,,,,,,,,,
0,459,0.5137076377868652,0.167459174990654,0.13061925768852234,0.669445812702179,,,,,,,,,
0,469,0.5340214967727661,0.1429477334022522,0.10001340508460999,0.6554770469665527,,,,,,,,,
0,479,0.5176199674606323,0.15879088640213013,0.1275824010372162,0.6690210103988647,,,,,,,,,
0,489,0.5150445699691772,0.16288194060325623,0.13597488403320312,0.6754517555236816,,,,,,,,,
0,499,0.5193902254104614,0.16331049799919128,0.13094399869441986,0.6748307943344116,,,,,,,,,
0,509,0.5169603824615479,0.18631970882415771,0.1274595856666565,0.6723679304122925,,,,,,,,,
0,517,,,,,0.0,0.0,0.29165512323379517,0.2535458207130432,0.0,0.6536152958869934,0.0,0.0,0.0
